"Timestamp","In which data science application area are you most interested?","On a scale of 1-5, where 5 represents ""very excited"" and 1 represents ""I am dreading this,"" how excited are you to be taking IDS 702: Data Modeling and Representation?","How many languages do you speak?","Do you play an instrument?","How many siblings do you have? (Enter the number, i.e., ""1"" not ""one"")","What is your age range?","Would you rather live on the beach or in a cabin in the woods?","How many times have you eaten sushi in the last 30 days? Again write the number instead of the word."
"2024/08/21 1:14:39 PM AST","Other","4 (Pretty excited)","2","No","1","20-24","On the beach","2"
"2024/08/21 1:15:09 PM AST","Health","4 (Pretty excited)","4","Yes","1","20-24","On the beach","0"
"2024/08/21 1:15:11 PM AST","Policy","4 (Pretty excited)","3","Yes","1","25-29","On the beach","0"
"2024/08/21 1:15:37 PM AST","Not sure yet","4 (Pretty excited)","5","Yes","1","25-29","Cabin in the woods","2"
"2024/08/21 1:15:42 PM AST","Other","4 (Pretty excited)","2","No","1","25-29","Cabin in the woods","0"
"2024/08/21 1:15:49 PM AST","Not sure yet","5 (Wow I cannot wait to learn about statistical models)","3","No","1","20-24","Cabin in the woods","000"
"2024/08/21 1:15:53 PM AST","Health","4 (Pretty excited)","2","No","1","25-29","On the beach","1"
"2024/08/21 1:15:57 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","2","Yes","2","20-24","On the beach","0"
"2024/08/21 1:15:58 PM AST","Other","3 (Neutral - I could take it or leave it)","2","No","1","20-24","On the beach","0"
"2024/08/21 1:15:59 PM AST","Not sure yet","3 (Neutral - I could take it or leave it)","3","No","0","25-29","Cabin in the woods","0"
"2024/08/21 1:16:02 PM AST","Other","1 (I am dreading this)","1","No","2","30-34","Cabin in the woods","1"
"2024/08/21 1:16:04 PM AST","Other","4 (Pretty excited)","3","No","1","20-24","On the beach","2"
"2024/08/21 1:16:06 PM AST","Policy","5 (Wow I cannot wait to learn about statistical models)","2","No","2","25-29","On the beach","1"
"2024/08/21 1:16:08 PM AST","Other","3 (Neutral - I could take it or leave it)","1","No","2","30-34","Cabin in the woods","0"
"2024/08/21 1:16:12 PM AST","Other","4 (Pretty excited)","3","No","1","25-29","Cabin in the woods","4"
"2024/08/21 1:16:13 PM AST","Other","3 (Neutral - I could take it or leave it)","3","Yes","2","25-29","On the beach","5"
"2024/08/21 1:16:22 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","2","No","2","20-24","Cabin in the woods","0"
"2024/08/21 1:16:23 PM AST","Not sure yet","4 (Pretty excited)","3","No","1","25-29","Cabin in the woods","2"
"2024/08/21 1:16:26 PM AST","Not sure yet","4 (Pretty excited)","2","No","4","30-34","On the beach","2"
"2024/08/21 1:16:30 PM AST","Other","4 (Pretty excited)","2","No","6","25-29","Cabin in the woods","0"
"2024/08/21 1:16:31 PM AST","Other","3 (Neutral - I could take it or leave it)","3","Yes","1","20-24","On the beach","1"
"2024/08/21 1:16:31 PM AST","Health","4 (Pretty excited)","3","Yes","1","25-29","On the beach","2"
"2024/08/21 1:16:32 PM AST","Health","1 (I am dreading this)","0","No","-1","40+","Cabin in the woods","999"
"2024/08/21 1:16:33 PM AST","Health","4 (Pretty excited)","2","No","1","25-29","Cabin in the woods","0"
"2024/08/21 1:16:33 PM AST","Policy","3 (Neutral - I could take it or leave it)","3","Yes","1","25-29","Cabin in the woods","0"
"2024/08/21 1:16:33 PM AST","Other","4 (Pretty excited)","2","Yes","1","35-39","On the beach","2"
"2024/08/21 1:16:34 PM AST","Climate/energy","4 (Pretty excited)","3","Yes","none","20-24","On the beach","14"
"2024/08/21 1:16:37 PM AST","Health","2 (This is required and I'm not super excited)","2","Yes","0","20-24","On the beach","0"
"2024/08/21 1:16:47 PM AST","Other","5 (Wow I cannot wait to learn about statistical models)","3","Yes","0","20-24","Cabin in the woods","1"
"2024/08/21 1:16:47 PM AST","Policy","3 (Neutral - I could take it or leave it)","2","Yes","0","20-24","On the beach","2"
"2024/08/21 1:16:48 PM AST","Not sure yet","4 (Pretty excited)","3","Yes","0","25-29","On the beach","1"
"2024/08/21 1:16:53 PM AST","Health","3 (Neutral - I could take it or leave it)","3","Yes","0","20-24","Cabin in the woods","2"
"2024/08/21 1:16:57 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","2","No","0","25-29","Cabin in the woods","1"
"2024/08/21 1:17:00 PM AST","Other","4 (Pretty excited)","2","No","1","25-29","On the beach","1"
"2024/08/21 1:17:00 PM AST","Not sure yet","2 (This is required and I'm not super excited)","2","Yes","3","25-29","On the beach","0"
"2024/08/21 1:17:06 PM AST","Other","4 (Pretty excited)","3","Yes","0","20-24","Cabin in the woods","4"
"2024/08/21 1:17:09 PM AST","Health","4 (Pretty excited)","2","No","1","25-29","Cabin in the woods","0"
"2024/08/21 1:17:14 PM AST","Not sure yet","4 (Pretty excited)","4","No","2","25-29","On the beach","0"
"2024/08/21 1:17:14 PM AST","Other","3 (Neutral - I could take it or leave it)","10 or more","Yes","5","30-34","On the beach","-1"
"2024/08/21 1:17:18 PM AST","Other","4 (Pretty excited)","3","No","4","40+","On the beach","0"
"2024/08/21 1:17:26 PM AST","Other","4 (Pretty excited)","5","No","0","20-24","On the beach","7"
"2024/08/21 1:17:27 PM AST","Other","4 (Pretty excited)","2","Yes","0","20-24","On the beach","0"
"2024/08/21 1:17:38 PM AST","Other","2 (This is required and I'm not super excited)","1","No","1","20-24","Cabin in the woods","0"
