Timestamp,In which data science application area are you most interested?,How many languages do you speak?,"How many siblings do you have? (Enter the number, e.g., ""1"" not ""one"")",What is your age range?,How many times have you eaten sushi in the last 30 days? Again write the number instead of the word.
8/19/2025 17:12:45,Other,1,3,20-24,1
8/19/2025 17:13:08,Other,4,1,35-39,1
8/19/2025 17:13:21,Not sure yet,3,1,20-24,1
8/19/2025 17:16:31,Not sure yet,2,0,20-24,5
8/19/2025 17:20:03,Not sure yet,2,0,20-24,1
8/19/2025 17:20:20,Health,4,1,30-34,1
8/19/2025 18:11:07,Not sure yet,2,0,25-29,0
8/19/2025 18:22:43,Other,2,2,25-29,1
8/19/2025 18:38:50,Other,3,1,25-29,2
8/19/2025 18:45:52,Health,2,1,20-24,0
8/19/2025 18:57:13,Policy,2,1,20-24,0
8/19/2025 19:31:54,Not sure yet,1,-1,30-34,999
8/19/2025 19:52:31,Climate/energy,2,1,20-24,2
8/19/2025 20:44:06,Not sure yet,2,1,20-24,2
8/19/2025 21:14:21,Health,1,0,20-24,1
8/19/2025 22:39:24,Other,2,1,25-29,0
8/19/2025 23:09:51,Other,5,0,20-24,0
8/19/2025 23:54:46,Climate/energy,2,0,20-24,1
8/20/2025 0:08:43,Other,3,1,20-24,0
8/20/2025 7:22:40,Not sure yet,3,1,20-24,0
8/20/2025 8:35:45,Climate/energy,2,0,25-29,2
8/20/2025 9:08:50,Health,2,6,25-29,0
8/20/2025 9:13:36,Not sure yet,3,1,25-29,0
8/20/2025 9:20:15,Other,4,2,25-29,1
8/20/2025 10:13:46,Health,3,0,20-24,1
8/20/2025 10:15:00,Not sure yet,1,0,20-24,0
8/20/2025 11:12:02,Health,4,1,25-29,21
8/20/2025 12:02:07,Climate/energy,2,0,20-24,1
