"","superhost","room_type","accommodates","bathrooms","bedrooms","Price","review_scores_rating"
"1",1,"Entire home/apt",2,1,"1",100,4.51
"2",1,"Entire home/apt",3,1,"2",114,4.87
"3",1,"Entire home/apt",4,1,"1",41,4.77
"4",0,"Entire home/apt",2,1,"2",200,4.79
"5",1,"Entire home/apt",2,1,"1",75,4.94
"6",1,"Entire home/apt",2,1,"1",77,4.94
"7",NA,"Entire home/apt",2,1,NA,45,4.5
"8",1,"Entire home/apt",8,3,"3",210,4.95
"9",0,"Entire home/apt",4,1,"1",222,NA
"10",1,"Entire home/apt",2,1,NA,124,4.94
"11",1,"Entire home/apt",5,1,"1",94,4.93
"12",0,"Entire home/apt",2,1,"1",93,4.94
"13",1,"Entire home/apt",6,2,"3",225,4.8
"14",0,"Entire home/apt",6,1,"2",150,4.93
"15",1,"Entire home/apt",2,1,NA,144,4.92
"16",1,"Entire home/apt",10,2.5,"3",206,4.99
"17",0,"Entire home/apt",5,1,"1",236,4.93
"18",0,"Entire home/apt",2,1,"1",49,5
"19",NA,"Private room",2,1,NA,99,4.97
"20",1,"Entire home/apt",6,1,"2",200,4.91
"21",1,"Entire home/apt",2,1,"1",128,4.95
"22",0,"Entire home/apt",2,1,"1",75,4.86
"23",1,"Entire home/apt",4,1,"2",143,4.86
"24",1,"Entire home/apt",4,1,"1",103,4.62
"25",1,"Entire home/apt",6,1,"1",68,4.94
"26",1,"Entire home/apt",2,1,"1",107,4.72
"27",1,"Entire home/apt",8,3,"4",263,4.88
"28",NA,"Private room",2,1,NA,83,4.96
"29",0,"Entire home/apt",2,1,"1",132,4.85
"30",NA,"Private room",3,1.5,NA,70,4.74
"31",1,"Entire home/apt",2,1,"1",107,4.92
"32",1,"Entire home/apt",2,1,"1",135,4.97
"33",0,"Entire home/apt",2,1,"1",102,4.79
"34",NA,"Private room",1,2,NA,57,4.82
"35",1,"Private room",2,1,NA,85,4.92
"36",1,"Entire home/apt",4,1,"2",162,4.71
"37",1,"Entire home/apt",2,1,"6",71,4.92
"38",1,"Entire home/apt",4,1,"3",159,4.9
"39",1,"Entire home/apt",2,1,"1",76,4.93
"40",1,"Entire home/apt",2,1,NA,98,4.86
"41",0,"Entire home/apt",3,1,"1",68,4.74
"42",1,"Entire home/apt",4,1,"2",65,5
"43",NA,"Private room",2,2,NA,87,4.8
"44",1,"Entire home/apt",2,1,"1",73,4.83
"45",1,"Entire home/apt",1,1,"1",-325,4.81
"46",NA,"Private room",2,1,NA,43,4.96
"47",1,"Entire home/apt",4,1.5,"2",205,4.72
"48",1,"Entire home/apt",4,1.5,"2",203,4.86
"49",1,"Entire home/apt",8,2.5,"3",125,4.92
"50",1,"Entire home/apt",3,1,"1",102,4.97
"51",NA,"Shared room",1,2.5,NA,28,4.73
"52",NA,"Private room",2,2.5,NA,66,4.72
"53",0,"Entire home/apt",5,1,"2",108,NA
"54",NA,"Private room",2,1,NA,61,4.74
"55",NA,"Private room",2,2,NA,95,4.82
"56",1,"Entire home/apt",2,1,"one",89,4.94
"57",1,"Entire home/apt",4,1,"1",65,4.85
"58",1,"Entire home/apt",5,1,"2",125,4.8
"59",1,"Entire home/apt",2,1,"1",96,4.95
"60",NA,"Private room",2,1,NA,125,4.9
"61",0,"Entire home/apt",6,2,"3",300,5
"62",0,"Entire home/apt",8,2,"3",95,4.62
"63",1,"Entire home/apt",2,1,"1",103,4.86
"64",NA,"Private room",4,1,NA,133,4.8
"65",1,"Entire home/apt",4,1,NA,118,4.92
"66",NA,"Private room",2,1,NA,70,4.81
"67",0,"Entire home/apt",4,1,"2",225,4.82
"68",1,"Entire home/apt",4,1,"2",175,4.59
"69",0,"Entire home/apt",2,1,"1",103,4.9
"70",1,"Entire home/apt",3,1,"1",110,4.85
"71",0,"Entire home/apt",2,1,"1",98,4.67
"72",1,"Entire home/apt",7,2,"3",286,4.8
"73",0,"Entire home/apt",2,1,"1",214,4.89
"74",1,"Entire home/apt",2,1,"1",85,4.94
"75",1,"Entire home/apt",1,1,"1",91,4.9
"76",1,"Entire home/apt",3,1,"1",93,4.81
"77",0,"Entire home/apt",1,1,"1",62,4.67
"78",0,"Entire home/apt",10,2.5,"3",500,4.96
"79",0,"Entire home/apt",2,1.5,"2",82,4.8
"80",1,"Entire home/apt",2,1,"1",112,4.93
"81",1,"Entire home/apt",4,1.5,"2",75,4.94
"82",1,"Entire home/apt",2,1,"2",285,5
"83",NA,"Private room",1,1,NA,60,4.81
"84",1,"Entire home/apt",8,3.5,"4",450,4.99
"85",1,"Entire home/apt",3,1,"1",103,4.97
"86",1,"Entire home/apt",4,2,"2",200,4.92
"87",NA,"Private room",2,1,NA,87,4.95
"88",1,"Entire home/apt",6,2.5,"3",199,4.97
"89",1,"Entire home/apt",8,2,"4",396,4.84
"90",1,"Entire home/apt",1,1,NA,68,4.9
"91",NA,"Entire home/apt",2,1,NA,68,5
"92",1,"Entire home/apt",4,1,"1",93,4.87
"93",0,"Entire home/apt",5,1,"2",93,4.9
"94",1,"Entire home/apt",3,1,"1",157,4.96
"95",0,"Entire home/apt",4,1,"2",98,4.78
"96",0,"Entire home/apt",1,1,NA,84,4.68
"97",NA,"Private room",4,1,NA,73,4.95
"98",0,"Private room",2,1,"1",371,4.86
"99",1,"Entire home/apt",4,1,NA,240,4.91
"100",1,"Entire home/apt",2,1,"1",150,4.98
"101",1,"Entire home/apt",2,1,"1",250,5
"102",1,"Entire home/apt",6,1,"2",70,4.98
"103",0,"Entire home/apt",6,2,"1",234,4.8
"104",1,"Entire home/apt",4,1,"1",108,4.8
"105",1,"Entire home/apt",5,1.5,"2",165,4.91
"106",1,"Entire home/apt",5,1,"2",128,4.81
"107",1,"Entire home/apt",2,1,"1",126,4.96
"108",0,"Entire home/apt",6,2,"3",285,5
"109",1,"Entire home/apt",2,1,"1",90,4.84
"110",1,"Entire home/apt",-7,3.5,"4",179,4.89
"111",1,"Entire home/apt",4,1,"1",230,4.94
"112",NA,"Private room",2,1,NA,99,4.98
"113",1,"Entire home/apt",4,1,NA,124,4.77
"114",0,"Entire home/apt",2,1,"1",60,4.67
"115",1,"Entire home/apt",2,1,"1",134,4.91
"116",0,"Entire home/apt",2,1,"1",249,4.92
"117",1,"Entire home/apt",2,1,"1",115,4.89
"118",NA,"Private room",2,1,NA,126,4.98
"119",1,"Entire home/apt",2,1,"1",311,4.95
"120",1,"Entire home/apt",5,1,"2",225,4.97
"121",NA,"Private room",4,1,NA,43,4.83
"122",1,"Entire home/apt",4,1,"2",125,4.94
"123",1,"Entire home/apt",4,1,"1",114,4.79
"124",1,"Entire home/apt",4,2,"2",195,4.87
"125",NA,"Private room",2,1,NA,77,4.93
"126",1,"Entire home/apt",2,1,"1",87,4.37
"127",0,"Entire home/apt",4,1,"1",94,4.89
"128",1,"Entire home/apt",6,1,"3",155,4.93
"129",1,"Entire home/apt",2,1,"1",117,4.88
"130",1,"Entire home/apt",6,2,"3",146,4.8
"131",0,"Entire home/apt",4,1,"2",125,4.95
"132",NA,"Private room",2,1.5,NA,130,4.95
"133",NA,"Private room",2,1,NA,78,4.93
"134",1,"Entire home/apt",2,1,"1",149,4.96
"135",0,"Entire home/apt",6,2.5,"3",199,5
"136",NA,"Entire home/apt",3,1,"1",117,4.84
"137",NA,"Entire home/apt",4,1,"1",97,4.87
