"id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Satisfaction"
97324,"Male","Loyal Customer",29,"Business travel","Business",347,5,5,5,5,4,4,4,4,5,4,4,4,4,4,23,20,"satisfied"
22921,"Female","Loyal Customer",39,"Business travel","Business",1690,2,2,4,2,5,4,4,5,5,5,5,4,5,5,0,0,"satisfied"
65230,"Male","disloyal Customer",37,"Business travel","Eco Plus",551,3,3,3,3,1,3,1,1,1,5,3,3,4,1,6,3,"neutral"
11060,"Female","Loyal Customer",31,"Personal Travel","Eco",224,4,2,4,4,5,4,5,5,2,2,3,2,3,5,4,1,"neutral"
12072,"Female","Loyal Customer",12,"Personal Travel","Eco",351,2,4,2,5,5,2,5,5,4,4,5,3,4,5,0,0,"neutral"
39978,"Male","Loyal Customer",31,"Business travel","Eco",1262,4,5,5,5,4,4,4,4,2,2,4,4,3,4,0,0,"neutral"
20530,"Female","Loyal Customer",42,"Business travel","Eco",533,4,5,3,5,4,5,3,3,3,4,3,1,3,2,0,0,"satisfied"
57379,"Male","Loyal Customer",59,"Personal Travel","Eco Plus",414,2,2,2,3,3,2,3,3,3,1,3,2,3,3,1,8,"dissatisfied"
53532,"Female","Loyal Customer",49,"Business travel","Eco Plus",2419,4,4,4,4,5,3,1,4,4,4,4,5,4,3,0,0,"satisfied"
24592,"Female","Loyal Customer",34,"Business travel","Eco",526,5,4,4,4,5,5,5,5,1,4,5,2,3,5,0,0,"satisfied"
56544,"Male","disloyal Customer",36,"Business travel","Business",1023,3,3,3,5,4,3,4,4,5,4,5,4,5,4,4,12,"neutral"
80486,"Male","Loyal Customer",53,"Personal Travel","Eco Plus",1299,2,4,2,4,2,2,2,2,4,4,5,3,4,2,0,0,"neutral"
127646,"Male","Loyal Customer",19,"Personal Travel","Eco",1773,2,2,2,2,5,2,5,5,3,3,1,3,2,5,0,0,"neutral"
74596,"Male","Loyal Customer",42,"Business travel","Business",1171,1,1,1,1,5,4,5,4,4,4,4,5,4,4,0,0,"satisfied"
19739,"Female","Loyal Customer",31,"Personal Travel","Eco",475,3,4,3,3,4,3,4,4,4,3,2,2,5,4,0,0,"dissatisfied"
45779,"Female","Loyal Customer",49,"Business travel","Business",2094,5,5,3,5,3,1,2,5,5,5,5,2,5,2,0,0,"satisfied"
58192,"Male","Loyal Customer",62,"Business travel","Business",2741,1,1,1,1,3,5,4,4,4,4,4,5,4,3,16,0,"satisfied"
58706,"Female","disloyal Customer",25,"Business travel","Business",4243,1,4,1,4,1,2,3,3,2,3,5,3,4,3,0,1,"dissatisfied"
10347,"Male","Loyal Customer",46,"Business travel","Business",2460,5,5,5,5,4,5,4,5,5,5,5,3,5,3,0,0,"satisfied"
109666,"Male","Loyal Customer",46,"Business travel","Eco",973,3,2,2,2,3,3,3,3,3,4,4,4,4,3,83,73,"neutral"
72678,"Male","Loyal Customer",7,"Personal Travel","Eco",964,4,1,4,2,5,4,5,5,1,1,3,2,3,5,11,3,"dissatisfied"
105661,"Male","Loyal Customer",56,"Business travel","Business",3290,1,1,1,1,2,4,5,5,5,5,5,3,5,3,4,0,"satisfied"
20469,"Female","Loyal Customer",48,"Personal Travel","Eco",84,2,2,2,3,3,3,3,3,3,2,2,4,3,1,0,3,"dissatisfied"
26403,"Male","Loyal Customer",24,"Personal Travel","Eco",957,4,5,4,4,4,4,4,4,5,3,5,3,4,4,56,43,"dissatisfied"
1480,"Female","Loyal Customer",42,"Business travel","Business",737,4,2,3,2,2,4,4,4,4,3,4,1,4,2,0,3,"neutral"
91283,"Female","Loyal Customer",22,"Business travel","Business",2160,1,1,2,1,5,5,5,5,5,2,5,4,4,5,0,47,"satisfied"
123027,"Female","disloyal Customer",24,"Business travel","Eco",590,4,5,4,1,3,4,3,3,4,3,5,3,4,3,46,42,"satisfied"
81455,"Male","Loyal Customer",49,"Business travel","Business",528,2,2,2,2,4,4,5,5,5,5,5,3,5,3,0,0,"satisfied"
123763,"Male","disloyal Customer",23,"Business travel","Eco",544,5,0,5,4,1,5,1,1,5,5,4,4,4,1,27,44,"satisfied"
12615,"Female","Loyal Customer",45,"Business travel","Business",1843,2,1,1,1,5,2,2,2,2,2,2,1,2,1,75,65,"neutral"
39446,"Male","Loyal Customer",23,"Personal Travel","Eco",129,3,4,3,4,3,1,2,2,2,3,3,2,2,2,226,244,"neutral"
60343,"Female","Loyal Customer",20,"Business travel","Business",2585,2,2,2,2,2,2,2,2,1,1,3,4,3,2,0,0,"dissatisfied"
29223,"Male","Loyal Customer",44,"Business travel","Business",434,4,5,5,5,3,3,4,4,4,4,4,4,4,2,9,2,"dissatisfied"
49555,"Male","Loyal Customer",46,"Business travel","Business",3932,4,4,4,4,1,2,1,3,3,3,3,5,3,4,10,7,"satisfied"
123171,"Male","Loyal Customer",38,"Business travel","Eco",250,4,4,4,4,4,4,4,4,3,3,2,5,1,4,0,0,"satisfied"
24489,"Female","Loyal Customer",67,"Business travel","Business",2709,3,3,3,3,4,1,3,5,5,5,3,4,5,1,0,0,"satisfied"
89559,"Female","Loyal Customer",28,"Business travel","Business",2955,5,5,2,5,5,5,5,5,5,2,4,4,4,5,0,0,"satisfied"
