"","season","mnth","day","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","bikers"
"3397",2,"May",146,"10",0,4,1,"clear",0.7,0.6667,NA,0.2836,49,94,143
"2912",2,"May",126,"5",0,5,1,"clear",0.34,0.3485,0.81,0.1045,0,16,16
"1560",1,"March",69,"10",0,4,1,"light rain/snow",0.4,0.4091,0,0.1642,0,17,17
"6986",4,"Oct",296,"16",0,0,0,"clear",0.52,0.5,0.55,0.194,188,217,405
"4709",3,"July",201,"2",0,3,1,"clear",0.7,0.6667,0.84,0,2,7,9
"5411",3,"Aug",230,"8",0,4,1,"clear",0.66,0.6212,0.74,0.2836,27,393,420
"1655",1,"March",73,"12",0,1,1,"clear",0.38,0.3939,0.37,0,40,54,94
"2626",2,"April",114,"7",0,0,0,"cloudy/misty",0.5,0.4848,1,0,16,11,27
"1688",1,"March",74,"22",0,2,1,"cloudy/misty",0.32,0.3182,0.87,0.1642,1,20,21
"1644",1,"March",73,"0",0,1,1,"clear",0.26,0.2727,0.65,0.1045,4,7,11
"3728",2,"June",160,"5",0,4,1,"cloudy/misty",0.7,0.6667,0.84,0,1,19,20
"6855",4,"Oct",291,"4",0,2,1,"cloudy/misty",0.44,0.4394,0.94,0.1045,0,4,4
"6644",4,"Oct",282,"9",0,0,0,"clear",0.5,0.4848,0.77,0,66,119,185
"667",1,"Jan",31,"2",0,1,1,"clear",0.22,0.2273,0.64,0.194,0,1,1
"4450",3,"July",190,"7",0,6,0,"clear",0.66,0.6061,0.78,0.194,21,50,71
"3433",2,"May",147,"22",0,5,1,"clear",0.6,0.5758,0.78,0.1343,25,116,141
"8319",4,"Dec",352,"6",0,0,0,"clear",0.2,0.2121,0.59,0.1343,0,3,3
"4688",3,"July",200,"5",0,2,1,"cloudy/misty",0.7,0.6667,0.74,0.1045,0,19,19
"4407",3,"July",188,"12",0,4,1,"clear",0.84,0.7727,NA,0,32,139,171
"5249",3,"Aug",223,"14",0,4,1,"clear",0.8,0.697,0.29,0,39,103,142
"1676",1,"March",74,"10",0,2,1,"cloudy/misty",0.32,0.3182,0.66,0.194,22,56,78
"2273",2,"April",99,"13",0,6,0,"cloudy/misty",0.36,0.3788,0.81,0,114,108,222
"200",1,"Jan",9,"14",0,0,0,"clear",0.22,0.1818,0.32,0.4627,8,64,72
"5042",3,"Aug",214,"23",0,2,1,"cloudy/misty",0.8,0.7424,0.49,0.1642,29,103,132
"5714",3,"Aug",243,"12",0,3,1,"clear",0.74,0.6667,NA,0.1343,68,192,260
"4173",3,"June",178,"18",0,1,1,"clear",0.74,0.6667,NA,0,79,512,591
"6398",4,"Sept",272,"3",0,4,1,"cloudy/misty",0.6,0.5152,0.94,0.194,0,8,8
"3665",2,"June",157,"14",0,1,1,"clear",0.78,0.6818,0.31,0.1343,46,99,145
"1495",1,"March",66,"15",0,1,1,"clear",0.34,0.303,0.31,0.3881,32,64,96
"7853",4,"Nov",332,"20",0,1,1,"cloudy/misty",0.54,0.5152,NA,0.2537,12,206,218
"7071",4,"Oct",300,"5",0,4,1,"light rain/snow",0.48,0.4697,0.88,0.0896,1,14,15
"1943",2,"March",85,"17",0,6,0,"clear",0.32,0.303,0.24,0.2239,102,101,203
"6214",3,"Sept",264,"11",0,3,1,"cloudy/misty",0.62,0.5758,0.83,0.1642,42,138,180
"1069",1,"Feb",48,"6",0,4,1,"clear",0.3,0.303,NA,0.1343,3,44,47
"8470",1,"Dec",358,"13",0,6,0,"clear",0.34,0.303,0.39,0.2985,24,97,121
"2731",2,"April",118,"16",0,4,1,"clear",0.62,0.5909,NA,0.2537,42,228,270
"5529",3,"Aug",235,"6",0,2,1,"clear",0.54,0.5152,0.6,0.194,3,111,114
"7180",4,"Oct",304,"18",0,1,1,"clear",0.4,0.4091,0.66,0.0896,30,392,422
"5345",3,"Aug",227,"14",0,1,1,"clear",0.74,0.6818,NA,0.0896,56,95,151
"7948",4,"Dec",336,"19",0,5,1,"clear",0.34,0.3182,0.53,0.2537,13,252,265
"344",1,"Jan",15,"19",0,6,0,"cloudy/misty",0.32,0.303,NA,0.2537,14,60,74
"8381",4,"Dec",354,"20",0,2,1,"clear",0.36,0.3788,NA,0,3,144,147
"8005",4,"Dec",339,"4",0,1,1,"clear",0.3,0.3182,NA,0.1045,0,7,7
"4185",3,"June",179,"6",0,2,1,"clear",0.66,0.6061,0.83,0.1642,7,117,124
"1646",1,"March",73,"2",0,1,1,"clear",0.26,0.2879,0.65,0.0896,0,1,1
"1823",2,"March",80,"16",0,1,1,"cloudy/misty",0.54,0.5152,0.64,0.2836,29,112,141
"6469",4,"Oct",275,"2",0,0,0,"light rain/snow",0.34,0.303,0.87,0.2985,3,27,30
"4877",3,"July",208,"2",0,3,1,"clear",0.76,0.697,NA,0.2985,1,5,6
"6389",4,"Sept",271,"18",0,3,1,"light rain/snow",0.66,0.6061,0.83,0.2537,65,459,524
"7525",4,"Nov",319,"3",0,2,1,"cloudy/misty",0.54,0.5152,0.68,0.3284,0,4,4
"8337",4,"Dec",353,"0",0,1,1,"clear",0.2,0.2273,0.75,0.0896,3,14,17
"8632",1,"Dec",365,"10",0,6,0,"clear",0.4,0.4091,0.76,0.1642,20,108,128
"5489",3,"Aug",233,"14",0,0,0,"light rain/snow",0.7,0.6667,NA,0.3881,78,157,235
"7598",4,"Nov",322,"4",0,5,1,"clear",0.22,0.2273,0.44,0.1642,0,5,5
"384",1,"Jan",17,"11",1,1,0,"cloudy/misty",0.16,0.1515,0.55,0.194,9,55,64
"4332",3,"July",185,"9",1,1,0,"cloudy/misty",0.72,0.6818,0.66,0.0896,142,96,238
"4234",3,"June",181,"7",0,4,1,"clear",0.62,0.6061,NA,0.2239,29,291,320
"3333",2,"May",143,"18",0,1,1,"clear",0.7,0.6667,0.74,0.2836,68,385,453
"1889",2,"March",83,"11",0,4,1,"cloudy/misty",0.3,0.2727,0.81,0.2985,10,61,71
"1796",1,"March",79,"12",0,0,0,"clear",0.36,0.3636,0.4,0.1045,120,108,228
"2778",2,"April",120,"15",0,6,0,"clear",0.56,0.5303,0.37,0.1343,217,282,499
"2553",2,"April",111,"6",0,4,1,"cloudy/misty",0.4,0.4091,0.58,0.5821,2,73,75
