"","Country.Code","Country.Name","Region","Year","Deaths","Population"
"1","AFG","AFGHANISTAN","Asia",2014,721,32792523
"2","AFG","AFGHANISTAN","Asia",2013,155,31622704
"3","AFG","AFGHANISTAN","Asia",2012,378,30560034
"4","AFG","AFGHANISTAN","Asia",2011,83,29347708
"5","AFG","AFGHANISTAN","Asia",2010,350,28284089
"6","AFG","AFGHANISTAN","Asia",2009,101,27466101
"7","AFG","AFGHANISTAN","Asia",2008,1334,26482622
"8","AFG","AFGHANISTAN","Asia",2007,296,25909852
"9","AFG","AFGHANISTAN","Asia",2006,382,25424094
"10","AFG","AFGHANISTAN","Asia",2005,582,24404567
"11","AFG","AFGHANISTAN","Asia",2004,18,23560654
"12","AFG","AFGHANISTAN","Asia",2003,137,22733049
"13","AFG","AFGHANISTAN","Asia",2002,4083,21378117
"14","AFG","AFGHANISTAN","Asia",2001,485,20284307
"15","AFG","AFGHANISTAN","Asia",2000,594,20130327
"16","AFG","AFGHANISTAN","Asia",1999,205,19887785
"17","AFG","AFGHANISTAN","Asia",1998,7308,19159996
"18","AFG","AFGHANISTAN","Asia",1997,175,18452091
"19","AFG","AFGHANISTAN","Asia",1996,70,17763266
"20","AFG","AFGHANISTAN","Asia",1995,381,17065836
"21","AFG","AFGHANISTAN","Asia",1994,160,16250794
"22","AFG","AFGHANISTAN","Asia",1993,225,14943172
"23","AFG","AFGHANISTAN","Asia",1992,614,13278974
"24","AFG","AFGHANISTAN","Asia",1991,1427,12238879
"25","AFG","AFGHANISTAN","Asia",1990,144,12045660
"26","AFG","AFGHANISTAN","Asia",1989,0,11874088
"27","AFG","AFGHANISTAN","Asia",1988,0,11523298
"28","AFG","AFGHANISTAN","Asia",1987,70,11387818
"29","AFG","AFGHANISTAN","Asia",1986,0,11420074
"30","AFG","AFGHANISTAN","Asia",1985,0,11426852
"31","AFG","AFGHANISTAN","Asia",1984,1,11190221
"32","AFG","AFGHANISTAN","Asia",1983,12,10917982
"33","AFG","AFGHANISTAN","Asia",1982,500,10991378
"34","AFG","AFGHANISTAN","Asia",1981,0,11937581
"35","AFG","AFGHANISTAN","Asia",1980,0,13169311
"36","AFG","AFGHANISTAN","Asia",1979,0,13655567
"37","AFG","AFGHANISTAN","Asia",1978,120,13611441
"38","AFG","AFGHANISTAN","Asia",1977,0,13340756
"39","AFG","AFGHANISTAN","Asia",1976,101,13059851
"40","AFG","AFGHANISTAN","Asia",1975,0,12773954
