"popularity","runtime","title","vote_average","Action","Comedy","Drama","Animation","Thriller","Romance","budget_mil","revenue_mil","original_language_en","year"
150.437577,162,"Avatar",7.2,1,0,0,0,0,0,237,2787.965087,1,2009
139.082615,169,"Pirates of the Caribbean: At World's End",6.9,1,0,0,0,0,0,300,961,1,2007
107.376788,148,"Spectre",6.3,1,0,0,0,0,0,245,880.674609,1,2015
112.31295,165,"The Dark Knight Rises",7.6,1,0,1,0,1,0,250,1084.939099,1,2012
43.926995,132,"John Carter",6.1,1,0,0,0,0,0,260,284.1391,1,2012
115.699814,139,"Spider-Man 3",5.9,1,0,0,0,0,0,258,890.871626,1,2007
48.681969,100,"Tangled",7.4,0,0,0,1,0,0,260,591.794936,1,2010
134.279229,141,"Avengers: Age of Ultron",7.3,1,0,0,0,0,0,280,1405.403694,1,2015
155.790452,151,"Batman v Superman: Dawn of Justice",5.7,1,0,0,0,0,0,250,873.260194,1,2016
57.925623,154,"Superman Returns",5.4,1,0,0,0,0,0,270,391.081192,1,2006
107.928811,106,"Quantum of Solace",6.1,1,0,0,0,1,0,200,586.090727,1,2008
145.847379,151,"Pirates of the Caribbean: Dead Man's Chest",7,1,0,0,0,0,0,200,1065.659812,1,2006
49.046956,149,"The Lone Ranger",5.9,1,0,0,0,0,0,255,89.28991,1,2013
99.398009,143,"Man of Steel",6.5,1,0,0,0,0,0,225,662.845518,1,2013
144.448633,143,"The Avengers",7.4,1,0,0,0,0,0,220,1519.55791,1,2012
135.413856,136,"Pirates of the Caribbean: On Stranger Tides",6.4,1,0,0,0,0,0,380,1045.713802,1,2011
52.035179,106,"Men in Black 3",6.2,1,1,0,0,0,0,225,624.026776,1,2012
120.965743,144,"The Hobbit: The Battle of the Five Armies",7.1,1,0,0,0,0,0,250,956.019788,1,2014
89.866276,136,"The Amazing Spider-Man",6.5,1,0,0,0,0,0,215,752.215857,1,2012
37.668301,140,"Robin Hood",6.2,1,0,0,0,0,0,200,310.66954,1,2010
61.22601,187,"King Kong",6.6,1,0,1,0,0,0,207,550,1,2005
100.025899,194,"Titanic",7.5,0,0,1,0,1,1,200,1845.034188,1,1997
198.372395,147,"Captain America: Civil War",7.1,1,0,0,0,0,0,250,1153.304495,1,2016
64.928382,131,"Battleship",5.5,1,0,0,0,1,0,209,303.025485,1,2012
418.708552,124,"Jurassic World",6.5,1,0,0,0,1,0,150,1513.52881,1,2015
93.004993,143,"Skyfall",6.9,1,0,0,0,1,0,200,1108.561013,1,2012
35.149586,127,"Spider-Man 2",6.7,1,0,0,0,0,0,200,783.766341,1,2004
77.68208,130,"Iron Man 3",6.8,1,0,0,0,0,0,200,1215.439994,1,2013
3.857526,104,"X-Men: The Last Stand",6.3,1,0,0,0,1,0,210,459.359555,1,2006
89.186492,104,"Monsters University",7,0,0,0,1,0,0,200,743.559607,1,2013
21.939663,150,"Transformers: Revenge of the Fallen",6,1,0,0,0,0,0,150,836.297228,1,2009
116.840296,165,"Transformers: Age of Extinction",5.8,1,0,0,0,0,0,210,1091.405097,1,2014
89.270217,142,"The Amazing Spider-Man 2",6.5,1,0,0,0,0,0,200,705.717432,1,2014
73.79505,125,"TRON: Legacy",6.3,1,0,0,0,0,0,170,400.062763,1,2010
49.98659,106,"Cars 2",5.8,0,1,0,1,0,0,200,559.852396,1,2011
51.872839,114,"Green Lantern",5.1,1,0,0,0,1,0,200,219.851172,1,2011
59.995418,103,"Toy Story 3",7.6,0,1,0,1,0,0,200,1066.969703,1,2010
71.862892,115,"Terminator Salvation",5.9,1,0,0,0,1,0,200,371.353001,1,2009
102.322217,137,"Furious 7",7.3,1,0,0,0,0,0,190,1506.24936,1,2015
