"","name","sex","event","equipment","age","age_class","division","bodyweight_kg","weight_class_kg","best3squat_kg","best3bench_kg","best3deadlift_kg","place","date","federation","meet_name"
"1","Balvinda Singh","M","SBD","Single-ply",24.5,"24-34","Open",82.5,"82.5",260,165,280,"10","1989-11-13","IPF","World Powerlifting Championships"
"2","Corentin Clement","M","SBD","Raw",18,"18-19","Open",104.61,"105",292.5,180,322.5,"1","2018-07-09","IPF","3rd World University Powerlifting Cup"
"3","Georg Boström","M","SBD","Single-ply",60.5,"60-64","Masters 3",125.1,"125+",105,112.5,125,"3","2008-09-30","IPF","World Masters Powerlifting Championships"
"4","Benjamin Coetsee","M","SBD","Single-ply",22.5,"20-23","Juniors",90.16,"93",260,162.5,262.5,"13","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"5","Arnaud Haaf","M","SBD","Raw",20,"20-23","Open",64.89,"66",175,120,180,"11","2018-07-09","IPF","3rd World University Powerlifting Cup"
"6","Silvia Bunces","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",51.39,"52",125,57.5,125,"2","2017-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"7","Nestor Gregory","M","SBD","Single-ply",62.5,"60-64","Masters 3",94.7,"100",205,110,182.5,"4","2006-10-02","IPF","World Masters Powerlifting Championships"
"8","Carolyne Savage","F","SBD","Raw",22.5,"20-23","Juniors",69.64,"72",137.5,77.5,172.5,"3","2015-06-05","IPF","World Classic Powerlifting Championships"
"9","Isha Maini","F","SBD","Raw",24,"24-34","Open",55.97,"57",95,70,125,"10","2018-07-09","IPF","3rd World University Powerlifting Cup"
"10","Reijo Jaakkola","M","SBD","Single-ply",47.5,"45-49","Masters 1",89.8,"90",190,145,220,"8","1996-10-07","IPF","World Masters Powerlifting Championships"
"11","Chiharu Aoki","F","SBD","Single-ply",19.5,"20-23","Juniors",42.79,"43",115,50,102.5,"5","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"12","Volker Dell","M","SBD","Single-ply",53,"50-54","Masters 2",103.59,"110",305,165,245,"4","2010-09-27","IPF","World Masters Championships"
"13","Tania Liggins","F","SBD","Single-ply",26.5,"24-34","Open",67.2,"67.5",152.5,97.5,172.5,"11","1995-05-05","IPF","Women's World Powerlifting Championships"
"14","Volodimir Ukhach","M","SBD","Single-ply",38.5,"35-39","Open",98.9,"100",350,240,325,"4","1999-11-17","IPF","Men's World Powerlifting Championships"
"15","Chun-Lin Wang","M","SBD","Single-ply",21,"20-23","Open",58.79,"59",250,150,242.5,"3","2011-11-08","IPF","World Powerlifting Championships"
"16","Fredrik Gudmundsson","M","SBD","Raw",41.5,"40-44","Masters 1",119.7,"120",262.5,190,300,"2","2019-06-04","IPF","World Classic Powerlifting Championships"
"17","David Coimbra","M","SBD","Raw",28.5,"24-34","Open",91.8,"93",260,175,290,"6","2012-06-12","IPF","World Classic Powerlifting Cup"
"18","Chung-Kai Chang","M","SBD","Single-ply",20.5,"20-23","Juniors",141.3,"125+",282.5,165,230,"4","1999-10-05","IPF","World Juniors Powerlifting Championships"
"19","Petteri Keränen","M","SBD","Single-ply",23.5,"24-34","Open",73.45,"74",282.5,182.5,270,"4","2011-11-08","IPF","World Powerlifting Championships"
"20","Robyn Niederkorn","F","SBD","Single-ply",19.5,"20-23","Juniors",57.5,"60",142.5,77.5,147.5,"4","2002-09-10","IPF","World Juniors Powerlifting Championships"
"21","Paula Houston","F","SBD","Single-ply",43,"40-44","Masters 1",66.85,"67.5",157.5,100,175,"1","2004-10-05","IPF","World Masters Powerlifting Championships"
"22","Vuokko Viitasaari","F","SBD","Single-ply",33.5,"24-34","Open",47.6,"48",125,70,147.5,"3","1988-05-06","IPF","Women's World Powerlifting Championships"
